date,claim_id,source,stance,modality,m_bella,m_vanilla,m_majority,Lambda_bella,rep_FT_McCrum,rep_FT_Alphaville,rep_Zatarra,rep_BaFin,rep_Wirecard_PR,rep_KPMG,rep_EY
2015-04-24,C01,Zatarra,supports,allegation,0.5652,0.6667,1.0,0.2624,0.5,0.5,0.5652,0.5,0.5,0.5,0.5
2015-04-30,C02,Wirecard_PR,counters,official_denial,0.5306,0.5,0.5,0.1226,0.5,0.5,0.5652,0.5,0.4651,0.5,0.5
2016-02-24,C03,Zatarra,supports,documented_evidence,0.7731,0.6667,0.6667,1.2256,0.5,0.5,0.7966,0.5,0.4651,0.5,0.5
2016-03-15,C04,Wirecard_PR,counters,legal_action,0.7565,0.5,0.5,1.1335,0.5,0.5,0.7966,0.5,0.4423,0.5,0.5
2016-10-20,C05,BaFin,counters,criminal_complaint,0.6863,0.3333,0.4,0.7828,0.5,0.5,0.7966,0.4132,0.4423,0.5,0.5
2018-01-30,C06,FT_Alphaville,supports,analysis,0.79,0.5,0.5,1.3252,0.5,0.6324,0.7966,0.4132,0.4423,0.5,0.5
2019-01-30,C07,FT_McCrum,supports,reported,0.9098,0.6667,0.5714,2.311,0.7283,0.6324,0.7966,0.4132,0.4423,0.5,0.5
2019-02-01,C08,Wirecard_PR,counters,official_denial,0.9006,0.5,0.5,2.2038,0.7283,0.6324,0.7966,0.4132,0.4237,0.5,0.5
2019-02-18,C09,BaFin,counters,official_action,0.8368,0.3333,0.4444,1.6345,0.7283,0.6324,0.7966,0.285,0.4237,0.5,0.5
2019-02-19,C10,BaFin,counters,criminal_complaint,0.7648,0.2,0.4,1.179,0.7283,0.6324,0.7966,0.2241,0.4237,0.5,0.5
2019-03-26,C11,FT_McCrum,supports,documented_evidence,0.951,0.3333,0.4545,2.9665,0.9412,0.6324,0.7966,0.2241,0.4237,0.5,0.5
2019-10-15,C12,FT_McCrum,supports,documented_evidence,0.9925,0.5,0.5,4.8888,0.9842,0.6324,0.7966,0.2241,0.4237,0.5,0.5
2019-10-21,C13,Wirecard_PR,counters,official_denial,0.9917,0.3333,0.4615,4.7837,0.9842,0.6324,0.7966,0.2241,0.4089,0.5,0.5
2020-04-28,C14,KPMG,supports,audit_finding,0.9987,0.5,0.5,6.6813,0.9842,0.6324,0.7966,0.2241,0.4089,0.8696,0.5
2020-06-18,C15,EY,supports,audit_refusal,0.9999,0.6667,0.5333,9.294,0.9842,0.6324,0.7966,0.2241,0.4089,0.8696,0.9317
2020-06-19,C16,Wirecard_PR,supports,admission,1.0,0.8,0.5625,12.1026,0.9842,0.6324,0.7966,0.2241,0.7381,0.8696,0.9317
2020-06-25,C17,Wirecard_PR,supports,bankruptcy,1.0,0.8889,0.5882,16.2243,0.9842,0.6324,0.7966,0.2241,0.9468,0.8696,0.9317
