id,date,source,source_role,stance,modality,lr_base,grounding,verified,claim_text,citation_hint
W01,1998-02-28,Wakefield,perpetrator,counters,journal_publication,4.0,0.7,FALSE,"Wakefield et al publish Lancet paper alleging MMR-autism link in 12 cases","Lancet · Wakefield et al · 28 Feb 1998"
W02,1998-03-01,Daily_Mail,tabloid,counters,amplification,1.5,0.4,FALSE,"UK tabloid coverage amplifies MMR-autism claim","Daily Mail / Sun · Mar 1998 onward"
W03,1999-06-01,MRC_UK,regulator,supports,guideline,3.0,0.7,FALSE,"UK Medical Research Council states no evidence of MMR-autism link","MRC statement · 1999"
W04,2002-11-07,Madsen_Denmark,epidemiological,supports,population_study,8.0,0.95,FALSE,"Madsen et al Denmark cohort study (n=537303) finds no MMR-autism link","NEJM · Madsen · 2002"
W05,2004-02-22,Deer_Sunday_Times,filter,supports,investigative_journalism,6.0,0.85,FALSE,"Brian Deer exposes Wakefield conflict of interest and litigation funding","Sunday Times · Deer · 22 Feb 2004"
W06,2004-03-06,Lancet_co_authors,insider,supports,retraction_of_interpretation,9.0,0.9,FALSE,"Ten of twelve Lancet co-authors retract the paper's interpretation","Lancet partial retraction · 2004"
W07,2005-03-03,Honda_Japan,epidemiological,supports,population_study,7.0,0.9,FALSE,"Honda et al Yokohama study: MMR vaccination stopped, autism rates continued rising","JCPP · Honda · 2005"
W08,2006-04-01,Wakefield,perpetrator,counters,continued_advocacy,1.5,0.4,FALSE,"Wakefield continues public advocacy despite withdrawn interpretation","Wakefield press / conferences · 2006"
W09,2007-07-01,GMC_UK,regulator,supports,criminal_complaint,5.0,0.8,FALSE,"GMC opens fitness-to-practise hearing against Wakefield","GMC proceedings · 2007"
W10,2008-05-02,Smeeth_UK,epidemiological,supports,population_study,7.0,0.9,FALSE,"Smeeth UK GP cohort: no association between MMR and autism","Pediatrics · Smeeth · 2008"
W11,2010-01-28,GMC_UK,regulator,supports,regulatory_finding,12.0,0.95,FALSE,"GMC finds Wakefield guilty of professional misconduct and dishonesty","GMC ruling · 28 Jan 2010"
W12,2010-02-02,Lancet,journal,supports,full_retraction,15.0,0.95,FALSE,"Lancet fully retracts the 1998 Wakefield paper","Lancet · full retraction · 2 Feb 2010"
W13,2010-05-24,GMC_UK,regulator,supports,license_revocation,20.0,1.0,FALSE,"GMC removes Wakefield from UK medical register","GMC · 24 May 2010"
W14,2011-01-05,BMJ_Deer,filter,supports,documented_evidence,10.0,0.95,FALSE,"BMJ publishes Deer series concluding Wakefield's research was an elaborate fraud","BMJ · Deer · 5 Jan 2011"
W15,2014-10-15,Taylor_MetaAnalysis,epidemiological,supports,meta_analysis,15.0,0.95,FALSE,"Meta-analysis of 1.2M children: no association between MMR and autism","Vaccine · Taylor · 2014"
