id,date,source,source_role,stance,modality,lr_base,grounding,verified,claim_text,citation_hint
T01,2013-09-09,Walgreens,partner,counters,endorsement,2.0,0.6,FALSE,"Walgreens partnership launches Theranos wellness centers in select stores","Walgreens / Theranos 2013 launch"
T02,2014-06-12,Fortune_Parloff,media,counters,profile,2.5,0.5,FALSE,"Fortune cover profile valuing Theranos at $9bn; Holmes as youngest self-made female billionaire","Fortune · Parloff · Jun 2014"
T03,2014-08-01,Fuisz,early_skeptic,supports,allegation,2.5,0.5,FALSE,"Richard Fuisz files lawsuit alleging fraud and IP theft","Fuisz lawsuit · 2014"
T04,2014-04-01,Shultz,insider,supports,reported,3.0,0.6,FALSE,"Tyler Shultz raises internal concerns about Edison device accuracy","Shultz emails to Holmes · 2014"
T05,2014-09-01,Theranos_PR,target,counters,official_denial,1.5,0.4,FALSE,"Theranos dismisses Shultz and Fuisz concerns as baseless","Theranos press response · 2014"
T06,2015-10-15,Carreyrou_WSJ,filter,supports,investigative_journalism,7.0,0.9,FALSE,"WSJ publishes Hot Startup Theranos Has Struggled With Its Blood-Test Technology","WSJ · Carreyrou · 15 Oct 2015"
T07,2015-10-21,Holmes,target,counters,official_denial,2.0,0.5,FALSE,"Holmes rebuts WSJ on CNBC Mad Money; calls reporting false","CNBC Mad Money · 21 Oct 2015"
T08,2015-10-30,Walgreens,partner,neutral,action,1.5,0.5,FALSE,"Walgreens halts Theranos tests at Newark clinical lab","Walgreens statement · 30 Oct 2015"
T09,2015-11-10,Carreyrou_WSJ,filter,supports,documented_evidence,7.0,0.9,FALSE,"WSJ publishes additional internal documents on Edison inaccuracy","WSJ follow-ups · Nov 2015"
T10,2016-01-25,FDA,regulator,supports,regulatory_finding,8.0,0.9,FALSE,"FDA Form 483 cites major deficiencies at Theranos Newark lab","FDA Form 483 · Jan 2016"
T11,2016-03-31,FDA,regulator,supports,regulatory_finding,10.0,0.9,FALSE,"FDA inspection finds serious regulatory violations in collection devices","FDA inspection report · Mar 2016"
T12,2016-07-07,CMS,regulator,supports,regulatory_finding,12.0,0.9,FALSE,"CMS revokes Theranos lab certification; bans Holmes from owning lab for two years","CMS · 7 Jul 2016"
T13,2016-10-05,Theranos_PR,target,supports,retraction,15.0,0.9,FALSE,"Theranos voids two years of Edison blood-test results","Theranos ad-hoc · Oct 2016"
T14,2017-06-12,Walgreens,partner,supports,action,5.0,0.8,FALSE,"Walgreens terminates Theranos partnership and sues for $140m","Walgreens lawsuit · 2017"
T15,2018-03-14,SEC,regulator,supports,fraud_charge,18.0,0.95,FALSE,"SEC charges Holmes and Balwani with massive fraud","SEC complaint · 14 Mar 2018"
T16,2018-06-15,DOJ,regulator,supports,fraud_charge,20.0,0.95,FALSE,"DOJ indicts Holmes and Balwani on wire fraud and conspiracy","DOJ indictment · 15 Jun 2018"
T17,2018-09-05,Theranos_PR,target,supports,dissolution,30.0,1.0,FALSE,"Theranos formally dissolves after shareholder vote","Theranos dissolution · Sep 2018"
