id,date,source,source_role,stance,modality,lr_base,grounding,verified,claim_text,citation_hint
C01,2015-04-24,Zatarra,short_seller,supports,allegation,2.0,0.6,FALSE,"Zatarra Research publishes first short-seller report alleging accounting fraud","Zatarra initial report · ≈ late Apr 2015"
C02,2015-04-30,Wirecard_PR,target,counters,official_denial,1.5,0.5,FALSE,"Wirecard denies Zatarra allegations as inaccurate and misleading","Wirecard press release ≈ 30 Apr 2015"
C03,2016-02-24,Zatarra,short_seller,supports,documented_evidence,4.0,0.7,FALSE,"Zatarra publishes extended 101-page fraud report with supporting documents","Zatarra Research · full report 2016"
C04,2016-03-15,Wirecard_PR,target,counters,legal_action,1.5,0.4,FALSE,"Wirecard announces legal action against Zatarra authors and short-sellers","Wirecard press releases · Mar 2016"
C05,2016-10-20,BaFin,regulator,counters,criminal_complaint,2.0,0.6,FALSE,"BaFin investigates Zatarra authors for suspected market manipulation","BaFin 2016-2017 · never published on Wirecard itself"
C06,2018-01-30,FT_Alphaville,filter,supports,analysis,3.0,0.6,FALSE,"FT Alphaville 'House of Wirecard' series re-opens investigation","FT Alphaville · Paul Murphy / Dan McCrum"
C07,2019-01-30,FT_McCrum,filter,supports,reported,4.0,0.8,FALSE,"FT reports Singapore whistleblower allegations of document forgery","FT · Dan McCrum · 30 Jan 2019"
C08,2019-02-01,Wirecard_PR,target,counters,official_denial,1.5,0.4,FALSE,"Wirecard dismisses FT report as false; threatens legal action","Wirecard press releases · early Feb 2019"
C09,2019-02-18,BaFin,regulator,counters,official_action,2.5,0.7,FALSE,"BaFin bans short-selling of Wirecard shares · unprecedented for DAX company","BaFin order · 18 Feb 2019"
C10,2019-02-19,BaFin,regulator,counters,criminal_complaint,2.5,0.7,FALSE,"BaFin files complaint against FT journalists for suspected market manipulation","BaFin · Feb 2019"
C11,2019-03-26,FT_McCrum,filter,supports,documented_evidence,6.0,0.9,FALSE,"FT publishes further leaked internal Wirecard documents on round-tripping","FT · 26 Mar 2019"
C12,2019-10-15,FT_McCrum,filter,supports,documented_evidence,6.0,0.9,FALSE,"FT publishes full Singapore cash-flow documents showing falsified balances","FT · 15 Oct 2019"
C13,2019-10-21,Wirecard_PR,target,counters,official_denial,1.5,0.4,FALSE,"Wirecard rejects FT documents as fabricated; commissions KPMG special audit","Wirecard press release · Oct 2019"
C14,2020-04-28,KPMG,auditor,supports,audit_finding,8.0,0.9,FALSE,"KPMG special audit cannot verify approximately €1bn in third-party acquirer cash","KPMG special audit report · 28 Apr 2020"
C15,2020-06-18,EY,auditor,supports,audit_refusal,15.0,0.95,FALSE,"EY refuses to sign 2019 annual report; €1.9bn may not exist","EY statement · 18 Jun 2020"
C16,2020-06-19,Wirecard_PR,target,supports,admission,20.0,0.95,FALSE,"Wirecard admits €1.9bn may not exist; CEO Markus Braun steps down","Wirecard ad-hoc · 19 Jun 2020"
C17,2020-06-25,Wirecard_PR,target,supports,bankruptcy,50.0,1.0,FALSE,"Wirecard files for insolvency","Insolvency filing · 25 Jun 2020"
