id,date,source,source_role,stance,modality,lr_base,grounding,verified,claim_text,citation_hint
H01,2020-03-16,Raoult_IHU,proponent,supports,small_trial,3.0,0.5,FALSE,"Raoult et al IHU Marseille uncontrolled trial claims HCQ + azithromycin efficacy (n=36)","IJAA · Raoult · 20 Mar 2020"
H02,2020-03-19,Trump,political,supports,amplification,1.5,0.3,FALSE,"US President endorses HCQ as COVID-19 game changer at White House briefing","White House briefing · 19 Mar 2020"
H03,2020-03-28,FDA,regulator,supports,regulatory_action,3.0,0.6,FALSE,"FDA grants emergency use authorization for HCQ in hospitalized COVID-19 patients","FDA EUA · 28 Mar 2020"
H04,2020-03-30,Zelenko,proponent,supports,case_series,2.0,0.4,FALSE,"NY physician Zelenko publicly reports case series claiming HCQ cocktail benefit","Zelenko public letter · Mar 2020"
H05,2020-04-10,NIH_COVID_Panel,regulator,counters,guideline,6.0,0.8,FALSE,"NIH COVID-19 treatment guidelines recommend against HCQ outside clinical trials","NIH panel · 10 Apr 2020"
H06,2020-04-21,Magagnoli_VA,epidemiological,counters,observational_study,5.0,0.7,FALSE,"Magagnoli VA observational study finds no benefit and higher mortality with HCQ","medRxiv / Magagnoli · Apr 2020"
H07,2020-04-24,FDA,regulator,counters,guideline,5.0,0.8,FALSE,"FDA warns against HCQ use outside hospitals due to cardiac risks","FDA safety communication · 24 Apr 2020"
H08,2020-05-22,Mehra_Lancet,epidemiological,counters,observational_study,8.0,0.8,FALSE,"Lancet publishes Mehra et al Surgisphere multinational study claiming harm with HCQ","Lancet · Mehra · 22 May 2020"
H09,2020-06-04,Lancet,journal,neutral,retraction,10.0,0.9,FALSE,"Lancet retracts Mehra paper after data-fabrication concerns about Surgisphere","Lancet retraction · 4 Jun 2020"
H10,2020-06-05,RECOVERY_trial,epidemiological,counters,randomized_trial,14.0,0.95,FALSE,"RECOVERY randomized trial n=4716 shows no benefit of HCQ in hospitalized patients","RECOVERY Oxford · 5 Jun 2020"
H11,2020-06-15,FDA,regulator,counters,revocation,9.0,0.9,FALSE,"FDA revokes HCQ emergency use authorization","FDA EUA revocation · 15 Jun 2020"
H12,2020-07-02,Henry_Ford_Health,epidemiological,supports,observational_study,4.0,0.5,FALSE,"Henry Ford observational study reports lower mortality with HCQ; heavily criticized for confounding","IJID · Henry Ford · Jul 2020"
H13,2020-10-15,WHO_Solidarity,epidemiological,counters,randomized_trial,15.0,0.95,FALSE,"WHO Solidarity trial interim results n=11330 show no HCQ mortality benefit","NEJM · Solidarity · Oct 2020"
H14,2020-11-16,Cavalcanti_Brazil,epidemiological,counters,randomized_trial,10.0,0.9,FALSE,"Cavalcanti Brazilian RCT: no benefit of HCQ or HCQ+azithromycin in mild-moderate disease","NEJM · Cavalcanti · Nov 2020"
H15,2021-02-15,Cochrane,epidemiological,counters,systematic_review,18.0,0.95,FALSE,"Cochrane systematic review concludes HCQ probably has little or no effect on COVID-19 mortality","Cochrane · Singh · Feb 2021"
H16,2021-03-15,Raoult_IHU,proponent,supports,continued_advocacy,1.5,0.3,FALSE,"Raoult continues public advocacy for HCQ despite accumulating negative evidence","Raoult public statements · 2021"
